3,Bilgi ve Bilgi Kaynaklarının Organizasyonu,Organisation of Information and Knowledge Resources
3,"Bilgi Yönetişimi, Politika ve Etik","Information Governance, Policy and Ethics"
3,Dijital Küratörlük ve Koruma,Digital Curation and Preservation
3,Dokümantasyon,Documentation
3,İnformetrik,Informetrics
3,Kayıt Tutma Bilişimi,Recordkeeping Informatics
3,Kütüphane Çalışmaları,Library Studies
3,"Sosyal ve Topluluk
Bilişimi",Social and Community Informatics
3,Bilgi Okuryazarlığı,Information Literacy
3,Kütüphane ve Bilgi Çalışmaları (Diğer),Library and Information Studies (Other)
2,Makine Öğrenme,Machine Learning
3,Bağlam Öğrenimi,Context Learning
3,Derin Öğrenme,Deep Learning
3,Nöral Ağlar,Neural Networks
3,"Şaşırtmalı Makine
Öğrenimi",Adversarial Machine Learning
3,Takviyeli Öğrenme,Reinforcement Learning
3,Yapay Görme,Machine Vision
3,"Yarı ve Denetimsiz
Öğrenme",Semi- and Unsupervised Learning
3,Denetimli Öğrenme,Supervised Learning
3,Makine Öğrenmesi Algoritmaları,Machine Learning Algorithms
3,Aşırı Öğrenme Makineleri,Extreme Learning Machines
3,"Sınıflandırma
algoritmaları","Classification
Algorithms"
3,Biyoenformatik,Bioinformatics
3,Makine Öğrenme (Diğer),Machine Learning (Other)
2,Siber Güvenlik ve Gizlilik,Cybersecurity and Privacy
3,Adli Bilişim,Computer Forensics
3,Bilgi Güvenliği ve Kriptoloji,Information Security and Cryptology
3,Bulut Bilişim Güvenliği,Cloud Computing Security
3,Dijital Adli Tıp,Digital Forensics
3,Donanım Güvenliği,Hardware Security
3,Kriptografi,Cryptography
3,Sistem ve Ağ Güvenliği,System and Network Security
3,Veri Güvenliği ve Korunması,Data Security and Protection
3,Veri ve Bilgi Gizliliği,Data and Information Privacy
3,Yazılım ve Uygulama Güvenliği,Software and Application Security
3,Siber İstihbarat,Cyber Espionage
3,"Siber Güvenlik
Politikaları","Cybersecurity
Policy"
3,Siber Güvenlik ve Gizlilik (Diğer),Cybersecurity and Privacy (Other)
2,"Uygulamalı Bilgi
İşleme",Applied Computing
3,Fizik Bilimlerinde Bilgi İşleme,Computing Applications in Physical Sciences
3,Mekansal Veri ve Bilgi İşleme,Spatial Data and Computing Applications
3,Sağlıkta Bilgi İşleme,Computing Applications in Health
3,Sanat ve Beşeri Bilimlerde Bilgi İşleme,Computing Applications in Arts and Humanities
3,Sosyal Bilimlerde ve Eğitimde Bilgi İşleme,Computing Applications in Social Sciences and Education
3,Yaşam Bilimlerinde Bilgi İşleme,Computing Applications in Life Sciences
3,"Uygulamalı Bilgi
İşleme (Diğer)",Applied Computing (Other)
2,"Veri Yönetimi ve
Veri Bilimi","Data Management
and Data Science"
3,Akış ve Sensör Verileri,Stream and Sensor Data
3,Bilgi Alma ve Web Arama,Information Retrieval and Web Search
3,Bilgi Çıkarma ve Füzyon,Information Extraction and Fusion
3,Büyük Veri,Big Data
3,"Grafik, Sosyal ve Multimedya Verileri","Graph, Social and Multimedia Data"
3,Sorgu İşleme ve Optimizasyon,Query Processing and Optimisation
3,Tavsiye Sistemleri,Recommender Systems
3,Veri Kalitesi,Data Quality
3,Veri Madenciliği ve Bilgi Keşfi,Data Mining and Knowledge Discovery
3,"Veri Modelleri, Depolama ve Dizinleme","Data Models, Storage and Indexing"
3,Veri Mühendisliği ve Veri Bilimi,Data Engineering and Data Science
3,"Veritabanı
Sistemleri",Database Systems
3,Veri Analizi,Data Analysis
3,Veri Yönetimi ve Veri Bilimi (Diğer),Data Management and Data Science (Other)
2,Yapay Zeka,Artificial Intelligence
3,Akıllı Robotik,Intelligent Robotics
3,Bilgi Temsili ve Akıl Yürütme,Knowledge Representation and Reasoning
3,Bulanık Hesaplama,Fuzzy Computation
3,Doğal Dil İşleme,Natural Language Processing
3,Evrimsel Hesaplama,Evolutionary Computation
3,Konuşma Tanıma,Speech Recognition
3,Konuşma Üretimi,Speech Production
3,Memnuniyet ve Optimizasyon,Satisfiability and Optimisation
3,Modelleme ve Simülasyon,Modelling and Simulation
3,Otonom Ajanlar ve Çok Yönlü Sistemler,Autonomous Agents and Multiagent Systems
3,"Planlama ve Karar
Verme","Planning and
Decision Making"
3,Sanal Gerçeklik,Artificial Reality
3,Yapay Yaşam ve Karmaşık Uyarlanabilir Sistemler,Artificial Life and Complex Adaptive Systems
3,Yapay Zeka (Diğer),Artificial Intelligence (Other)
2,Yazılım Mühendisliği,Software Engineering
3,Ampirik Yazılım Mühendisliği,Empirical Software Engineering
3,Bilgisayar Sistem Yazılımı,Computer System Software
3,Bilgisayar Yazılımı,Computer Software
3,Gereksinim Mühendisliği,Requirements Engineering
3,Otomatik Yazılım Mühendisliği,Automated Software Engineering
3,Programlama Dilleri,Programming Languages
3,Yazılım İçin Resmi Yöntemler,Formal Methods For Software
3,"Yazılım Kalitesi, Süreçler ve Metrikler","Software Quality, Processes and Metrics"
3,Yazılım Mimarisi,Software Architecture
3,"Yazılım Testi, Doğrulama ve Validasyon","Software Testing, Verification and Validation"
3,"Pekiştirmeli
Öğrenme",Reinforcement Learning
3,Yazılım Mühendisliği (Diğer),Software Engineering (Other)
1,Biyoloji,Biological Sciences
2,Bitki Bilimi,Botany
3,Algoloji,Algology
3,Bitki Biyokimyası,Plant Biochemistry
3,Bitki Biyoteknolojisi,Plant Biotechnology
3,Bitki Fizyolojisi,Plant Physiology
3,Bitki Gelişim ve Üreme Biyolojisi,Plant Developmental and Reproductive Biology
3,Bitki Hücresi ve Moleküler Biyoloji,Plant Cell and Molecular Biology
3,Bitki Morfolojisi ve Anatomisi,Plant Morphology and Anatomy
3,Bitki Patolojisi,Plant Pathology
3,Polen Bilimi,Palynology
3,Etnobotanik,Ethobotany
3,Briyofit,Bryophyte
3,Bitki Doku ve Organ Kültürü,Plant Tissue and Cell Culture
3,Bitki Bilimi (Diğer),Botany (Other)
2,Biyoinformatik ve Hesaplamalı Biyoloji,Bioinformatics and Computational Biology
3,Biyoinformatik Yöntem Geliştirme,Bioinformatic Methods Development
3,Biyolojik Ağ Analizi,Biological Network Analysis
3,Genomik ve Transkriptomik,Genomics and Transcriptomics
3,Hesaplamalı Ekoloji ve Filogenetik,Computational Ecology and Phylogenetics
3,İstatistiksel ve Nicel Genetik,Statistical and Quantitative Genetics
3,Proteomik ve Metabolomik,Proteomics and Metabolomics
3,Sekans Analizi,Sequence Analysis
3,Translasyonel ve Uygulamalı Biyoinformatik,Translational and Applied Bioinformatics
3,Moleküler Yerleştirme,Molecular Docking
3,Biyoinformatik ve Hesaplamalı Biyoloji (Diğer),Bioinformatics and Computational Biology (Other)
2,Biyokimya ve Hücre Biyolojisi,Biochemistry and Cell Biology
3,Analitik Biyokimya,Analytical Biochemistry
3,Enzimler,Enzymes
3,Glikobiyoloji,Glycobiology
3,"Hücre Gelişimi, Proliferasyon ve Ölümü","Cell Development, Proliferation and Death"
3,Hücre Metabolizması,Cell Metabolism
3,Hücre Nörokimyası,Cell Neurochemistry
3,Hücresel Etkileşimler,Cellular Interactions
3,Protein Trafiği,Protein Trafficking
3,Proteomik ve Moleküller Arası Etkileşimler,Proteomics and Intermolecular Interactions
3,Radyobiyoloji,Radiobiology
3,Reseptörler ve Membran Biyolojisi,Receptors and Membrane Biology
3,Sentetik Biyoloji,Synthetic Biology
3,Sinyal İletimi,Signal Transduction
3,Sistem Biyolojisi,Systems Biology
3,Yapısal Biyoloji,Structural Biology
3,Kanser Biyolojisi,Cancer Biology
3,Genotoksisite ve Sitotoksisite,Genotoxicity and Cytotoxicity
3,Biyokimya ve Hücre Biyolojisi (Diğer),Biochemistry and Cell Biology (Other)
2,Ekoloji,Ecology
3,Davranışsal Ekoloji,Behavioural Ecology
3,Deniz ve Nehir Ağzı Ekolojisi,Marine and Estuarine Ecology
3,Ekolojik Fizyoloji,Ecological Physiology
3,Hidrobiyoloji,Hydrobiology
3,Karasal Ekoloji,Terrestrial Ecology
3,Küresel Değişim Biyolojisi,Global Change Biology
3,Paleoekoloji,Palaeoecology
3,Popülasyon Ekolojisi,Population Ecology
3,Radyoekoloji,Radioecology
3,Tatlı Su Ekolojisi,Freshwater Ecology
3,Topluluk Ekolojisi,Community Ecology
3,Moleküler Ekoloji,Molecular Ecology
3,Ekotoksikoloji,Ecotoxicology
3,İstila Ekolojisi,Invasion Ecology
3,Ekoloji (Diğer),Ecology (Other)
2,"Endüstriyel
Biyoteknoloji","Industrial
Biotechnology"
3,"Biyoişlem, Biyoüretim ve Biyoürünler","Bioprocessing, Bioproduction and Bioproducts"
